DATE,A,B,C
2023-10-06,10.28,5.78,6.04
2023-10-07,8.96,7.84,13.62
2023-10-08,4.53,3.64,5.8
2023-10-09,8.06,8.07,4.91
2023-10-10,9.26,9.01,6.07
2023-10-11,8.27,11,4.16
2023-10-12,8.39,7.84,3.94
2023-10-13,3.07,3.21,4.67
2023-10-14,7.06,4.48,3.46
2023-10-15,5.47,8.08,4.15
2023-10-16,8.18,8.06,4.32
2023-10-17,7.74,8.01,4.6
2023-10-18,8.02,11.1,4.34
2023-10-19,5.23,9.28,3.21
2023-10-20,5.05,2.92,3.88
2023-10-21,6.24,7.12,2.8
2023-10-22,7.63,7.28,3.55
2023-10-23,6.03,8.17,3.42
2023-10-24,8.28,9.4,3.02
2023-10-25,8.83,9.97,2.91
2023-10-26,9.44,9.58,2.94
2023-10-27,2.39,2.49,5.81
2023-10-28,5.75,7.33,3.75
2023-10-29,8.15,7.51,3.72
2023-10-30,8.7,5.37,4.25
2023-10-31,9.7,8.95,3.4
2023-11-01,8.58,8.42,4.69
2023-11-02,9.57,7.83,3.99
2023-11-03,3.26,3.86,3.98
2023-11-04,4.44,8,3.18
2023-11-05,7.81,7.66,3.47
2023-11-06,10.01,8.49,4.13
2023-11-07,8.38,8.23,4.28
2023-11-08,7.94,7.16,4.67
2023-11-09,7.54,5.48,4.48
2023-11-10,1.14,2.24,5.01
2023-11-11,1.02,2.13,3.92
2023-11-12,3.81,7.04,2.94
2023-11-13,6.16,6.03,3.88
2023-11-14,8.5,8.29,3.81
2023-11-15,8.59,8.83,2.53
2023-11-16,8.23,8.22,3.56
2023-11-17,3.22,3.71,3.95
2023-11-18,5.72,4.84,3.11
2023-11-19,6.75,8.62,3.65
2023-11-20,7.6,7.13,3.86
2023-11-21,6.95,8.68,4.45
2023-11-22,9.34,8.92,4.15
2023-11-23,8.14,6.57,3.41
2023-11-24,4.14,2.79,2.51
2023-11-25,5.44,4.29,2.69
2023-11-26,9.32,6.41,3.62
2023-11-27,7.74,7.53,3.54
2023-11-28,4.94,4.65,2.08
2023-11-29,6.73,8.23,3.46
2023-11-30,7.64,3.7,3.12
2023-12-01,3.21,3.46,4.27
2023-12-02,2.54,2.35,2.1
2023-12-03,3.99,3.15,4.37
2023-12-04,5.77,5.01,2.83
2023-12-05,8.68,6.57,3.34
2023-12-06,3.24,7.33,3.63
2023-12-07,4.91,2.82,4.02
2023-12-08,6.85,4.74,4.36
2023-12-09,6.93,7.54,3.24
2023-12-10,4.56,6.74,3.6
2023-12-11,7.04,7.71,3.55
2023-12-12,7.33,7.21,3.89
2023-12-13,2.63,5.69,3.43
2023-12-14,5.32,3.27,4.4
2023-12-15,7.27,5.32,4.32
2023-12-16,6.5,7.65,2.08
2023-12-17,4.91,4.69,3.67
2023-12-18,6.29,4.68,4.02
2023-12-19,4.98,7.76,3.67
2023-12-20,1.73,6.11,3.12
2023-12-21,3.06,3,2.48
2023-12-22,7.1,5.77,4.91
2023-12-23,7.14,8,2.74
2023-12-24,7.95,7.85,3.33
2023-12-25,4.82,9,4.01
2023-12-26,7.71,4.97,3.43
2023-12-27,3.57,4.3,3.48
2023-12-28,3.24,4.6,3.97
2023-12-29,0.63,4.76,1.49
2023-12-30,7.32,5.56,4.3
2023-12-31,8.87,5.95,3.22
2024-01-01,5.55,4.87,3.19
2024-01-02,5.12,8.04,3.84
2024-01-03,4.84,5.48,4.22
2024-01-04,0.27,5.63,3.02
2024-01-05,5.76,2.92,1.47
2024-01-06,6.78,5.21,3
2024-01-07,4.74,6.66,3.45
2024-01-08,0,5.3,4.06
2024-01-09,2.05,2.54,4.64
2024-01-10,3.54,1.89,3.28
2024-01-11,2.5,7.33,2.76
2024-01-12,6.06,5.27,1.98
2024-01-13,6.53,5.05,1.85
2024-01-14,5.29,4.97,2.83
2024-01-15,5.55,5.11,3.52
2024-01-16,5.41,5.61,2
2024-01-17,3.42,5.67,2.25
2024-01-18,4.24,2.42,1.94
2024-01-19,5.08,5.09,1.14
2024-01-20,5.37,5.23,2.86
2024-01-21,4.72,3.73,2.97
2024-01-22,5.23,5.2,2.67
2024-01-23,5.5,5.59,3.47
2024-01-24,3.02,4.26,3.88
